exp,tx,replicate,time_min,isc_uA_per_cm2
exp19-35,ctrl25_10uM_vx770_vx809,r1,0,-0.326538086
exp19-35,ctrl25_10uM_vx770_vx809,r1,0.083333333,-0.140380859
exp19-35,ctrl25_10uM_vx770_vx809,r1,0.166666667,-0.241088867
exp19-35,ctrl25_10uM_vx770_vx809,r1,0.25,-0.314331055
exp19-35,ctrl25_10uM_vx770_vx809,r1,0.333333333,-0.247192383
exp19-35,ctrl25_10uM_vx770_vx809,r1,0.416666667,-0.354003906
exp19-35,ctrl25_10uM_vx770_vx809,r1,0.5,-0.076293945
exp19-35,ctrl25_10uM_vx770_vx809,r1,0.583333333,-0.115966797
exp19-35,ctrl25_10uM_vx770_vx809,r1,0.666666667,-0.1953125
exp19-35,ctrl25_10uM_vx770_vx809,r1,0.75,-0.216674805
exp19-35,ctrl25_10uM_vx770_vx809,r1,0.85,-0.02746582
exp19-35,ctrl25_10uM_vx770_vx809,r1,0.933333333,-0.201416015
exp19-35,ctrl25_10uM_vx770_vx809,r1,1.016666667,-0.112915039
exp19-35,ctrl25_10uM_vx770_vx809,r1,1.1,-0.271606445
exp19-35,ctrl25_10uM_vx770_vx809,r1,1.183333333,-0.173950195
exp19-35,ctrl25_10uM_vx770_vx809,r1,1.266666667,-0.216674805
exp19-35,ctrl25_10uM_vx770_vx809,r1,1.35,-0.177001953
exp19-35,ctrl25_10uM_vx770_vx809,r1,1.433333333,-0.189208984
exp19-35,ctrl25_10uM_vx770_vx809,r1,1.516666667,-0.219726562
exp19-35,ctrl25_10uM_vx770_vx809,r1,1.6,-0.198364258
exp19-35,ctrl25_10uM_vx770_vx809,r1,1.683333333,-0.198364258
exp19-35,ctrl25_10uM_vx770_vx809,r1,1.766666667,-0.216674805
exp19-35,ctrl25_10uM_vx770_vx809,r1,1.85,-0.228881836
exp19-35,ctrl25_10uM_vx770_vx809,r1,1.933333333,-0.1953125
exp19-35,ctrl25_10uM_vx770_vx809,r1,2.016666667,-0.189208984
exp19-35,ctrl25_10uM_vx770_vx809,r1,2.1,-0.155639648
exp19-35,ctrl25_10uM_vx770_vx809,r1,2.183333333,-0.259399414
exp19-35,ctrl25_10uM_vx770_vx809,r1,2.266666667,-0.207519531
