"","exp","tx","reps","time","isc"
"1","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",0,0.039672852
"2","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",0.0833333333333333,0.198364258
"3","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",0.166666666666667,0.021362305
"4","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",0.25,0.064086914
"5","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",0.333333333333333,0.161743164
"6","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",0.416666666666667,0.039672852
"7","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",0.5,0.177001954
"8","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",0.583333333333333,0.1953125
"9","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",0.666666666666667,0.0762939460000001
"10","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",0.75,0.1953125
"11","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",0.833333333333333,0.085449219
"12","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",0.916666666666667,0.021362305
"13","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",1,0.067138672
"14","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",1.08333333333333,0.11291504
"15","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",1.16666666666667,0.143432618
"16","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",1.25,0.057983399
"17","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",1.33333333333333,0.128173829
"18","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",1.41666666666667,0.09765625
"19","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",1.5,0.14038086
"20","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",1.58333333333333,0.082397461
"21","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",1.66666666666667,0.09765625
"22","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",1.75,0.085449219
"23","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",1.83333333333333,0.109863282
"24","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",1.91666666666667,0.137329102
"25","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",2,0.183105469
"26","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",2.08333333333333,0.100708008
"27","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",2.16666666666667,0.231933594
"28","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",2.25,0.122070313
"29","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",2.33333333333333,0.21057129
"30","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",2.41666666666667,0.039672852
"31","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",2.5,0.100708008
"32","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",2.58333333333333,0.125122071
"33","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",2.66666666666667,0.128173829
"34","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",2.75,0.073242188
"35","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",2.83333333333333,0.137329102
"36","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",2.91666666666667,0.0946044930000001
"37","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",3.01666666666667,0.0946044930000001
"38","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",3.1,0.0122070320000001
"39","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",3.18333333333333,0.177001954
"40","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",3.26666666666667,0.14038086
"41","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",3.35,0.146484375
"42","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",3.43333333333333,0.082397461
"43","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",3.51666666666667,0.103759766
"44","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",3.6,0.103759766
"45","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",3.68333333333333,0.0305175790000001
"46","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",3.76666666666667,0.219726563
"47","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",3.85,0.137329102
"48","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",3.93333333333333,0.067138672
"49","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",4.01666666666667,0.16784668
"50","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",4.1,0.073242188
"51","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",4.18333333333333,0.0762939460000001
"52","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",4.26666666666667,0.143432618
"53","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",4.35,0.100708008
"54","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",4.43333333333333,0.115966797
"55","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",4.51666666666667,0.036621094
"56","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",4.6,0.103759766
"57","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",4.68333333333333,0.137329102
"58","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",4.76666666666667,0.082397461
"59","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",4.85,0.0762939460000001
"60","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",4.93333333333333,0.085449219
"61","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",5.01666666666667,0.036621094
"62","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",5.1,0.064086914
"63","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",5.18333333333333,0.106811524
"64","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",5.26666666666667,0.131225586
"65","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",5.35,0.149536133
"66","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",5.43333333333333,0.1953125
"67","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",5.51666666666667,0.085449219
"68","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",5.6,0.07019043
"69","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",5.68333333333333,0.0793457040000001
"70","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",5.76666666666667,0.067138672
"71","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",5.85,0.115966797
"72","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",5.93333333333333,0.088500977
"73","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",6.01666666666667,0.082397461
"74","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",6.1,0.128173829
"75","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",6.18333333333333,0.082397461
"76","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",6.26666666666667,0.07019043
"77","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",6.35,0.11291504
"78","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",6.43333333333333,0.103759766
"79","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",6.51666666666667,0.198364258
"80","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",6.6,0.082397461
"81","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",6.68333333333333,0.119018555
"82","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",6.76666666666667,0.085449219
"83","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",6.85,0.225830079
"84","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",6.93333333333333,0.100708008
"85","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",7.01666666666667,0.137329102
"86","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",7.1,0.125122071
"87","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",7.18333333333333,0.088500977
"88","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",7.26666666666667,0.073242188
"89","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",7.36666666666667,0.207519532
"90","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",7.45,0.158691407
"91","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",7.53333333333333,0.134277344
"92","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",7.61666666666667,0.115966797
"93","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",7.7,0.186157227
"94","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",7.78333333333333,0.180053711
"95","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",7.86666666666667,0.119018555
"96","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",7.95,0.0793457040000001
"97","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",8.03333333333333,0.0152587900000001
"98","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",8.11666666666667,0.161743164
"99","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",8.2,0.119018555
"100","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",8.28333333333333,0.082397461
"101","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",8.36666666666667,0.067138672
"102","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",8.45,0.122070313
"103","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",8.53333333333333,0.149536133
"104","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",8.61666666666667,0.0610351570000001
"105","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",8.7,0.100708008
"106","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",8.78333333333333,0.0762939460000001
"107","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",8.86666666666667,0.088500977
"108","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",8.95,0.158691407
"109","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",9.03333333333333,0.07019043
"110","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",9.11666666666667,0.07019043
"111","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",9.2,0.146484375
"112","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",9.28333333333333,0.088500977
"113","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",9.36666666666667,0.085449219
"114","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",9.45,0.155639649
"115","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",9.53333333333333,0.073242188
"116","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",9.61666666666667,0.033569336
"117","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",9.7,0.146484375
"118","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",9.78333333333333,0.0762939460000001
"119","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",9.86666666666667,0.222778321
"120","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",9.95,0.125122071
"121","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",10.0333333333333,0.128173829
"122","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",10.1166666666667,0.289916993
"123","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",10.2,0.21057129
"124","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",10.2833333333333,0.161743164
"125","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",10.3666666666667,0.128173829
"126","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",10.45,0.146484375
"127","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",10.5333333333333,0.207519532
"128","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",10.6166666666667,0.064086914
"129","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",10.7,0.067138672
"130","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",10.7833333333333,0.11291504
"131","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",10.8666666666667,0.106811524
"132","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",10.95,0.158691407
"133","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",11.0333333333333,0.146484375
"134","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",11.1166666666667,0.131225586
"135","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",11.2,0.100708008
"136","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",11.2833333333333,0.122070313
"137","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",11.3666666666667,0.173950196
"138","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",11.45,0.0793457040000001
"139","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",11.5333333333333,0.143432618
"140","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",11.6166666666667,0.115966797
"141","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",11.7,0.0122070320000001
"142","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",11.7833333333333,0.125122071
"143","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",11.8666666666667,0.0793457040000001
"144","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",11.95,0.143432618
"145","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",12.0333333333333,0.0457763680000001
"146","exp19-42(ns)","ctrl_20uM_vx809_vx770_g418_200uM","r1",12.1166666666667,0.0762939460000001
