Cell,treatment,levels,exp,exp_type,assay_type,assay_gene,fc
TREx_U2OS_CFTR1282X_pYK6_P4,Blank,1,exp16-53,siRNA,rt-pcr,GAPDH_ACTB,2.629843
TREx_U2OS_CFTR1282X_pYK6_P4,siGAPDH_10uM,2,exp16-53,siRNA,rt-pcr,GAPDH_ACTB,0.9746117
TREx_U2OS_CFTR1282X_pYK6_P4,siGAPDH_30uM,3,exp16-53,siRNA,rt-pcr,GAPDH_ACTB,0.6710702
TREx_U2OS_CFTR1282X_pYK6_P4,siGAPDH_30uM,3,exp16-53,siRNA,rt-pcr,GAPDH_ACTB,0.8013485
TREx_U2OS_CFTR1282X_pYK6_P4,siGAPDH_90uM,4,exp16-53,siRNA,rt-pcr,GAPDH_ACTB,0.3302749
TREx_U2OS_CFTR1282X_pYK6_P4,siGAPDH_90uM,4,exp16-53,siRNA,rt-pcr,GAPDH_ACTB,0.3765225
TREx_U2OS_CFTR1282X_pYK6_P4,blank,5,exp16-53,siRNA,rt-pcr,CFTR-24-27_ACTB,0.5619801
TREx_U2OS_CFTR1282X_pYK6_P4,siUPF1_10uM,6,exp16-53,siRNA,rt-pcr,CFTR-24-27_ACTB,1.67583
TREx_U2OS_CFTR1282X_pYK6_P4,siUPF1_10uM,6,exp16-53,siRNA,rt-pcr,CFTR-24-27_ACTB,1.645016
TREx_U2OS_CFTR1282X_pYK6_P4,siUPF1_30uM,7,exp16-53,siRNA,rt-pcr,CFTR-24-27_ACTB,2.053874
TREx_U2OS_CFTR1282X_pYK6_P4,siUPF1_30uM,7,exp16-53,siRNA,rt-pcr,CFTR-24-27_ACTB,2.309281
TREx_U2OS_CFTR1282X_pYK6_P4,siUPF1_90uM,8,exp16-53,siRNA,rt-pcr,CFTR-24-27_ACTB,2.10471
TREx_U2OS_CFTR1282X_pYK6_P4,siUPF1_90uM,8,exp16-53,siRNA,rt-pcr,CFTR-24-27_ACTB,1.948548
TREx_U2OS_CFTR1282X_pYK6_P4,Blank,1,exp16-54,siRNA,rt-pcr,GAPDH_ACTB,2.629843
TREx_U2OS_CFTR1282X_pYK6_P4,siGAPDH_10uM,2,exp16-54,siRNA,rt-pcr,GAPDH_ACTB,0.9746117
